titulo,Cidade,salario,descricao
Desenvolvedor ASP.NET C# / JavaScript / SQL SERVER,Rio de Janeiro,A combinar,"Programar, codificar e desenvolver sistemas, com ênfase em Asp."
Desenvolvedor Front End,Joinville,A combinar,"Definir padrão de interface, Elaboração de mapas de navegação do usuário, testes de usabilidade, Elaboração de mapas de navegação do usuário, testes de usabilidade, Prototipação, Fluxo do usuário e de processos."
Desenvolvedor Front-end Sênior,São Paulo,A combinar,"Tecnologias obrigatórias: Jquery, JavaScript, Css, Bootstrap, ASP."
Desenvolvedor JavaScript,Florianopolis, De 6.001 até 7.000 ,"Desenvolvedor de front-end experiente que possa ajudar a levar o seu produto ao próximo nível. No momento, estão procurando desenvolvedores para trabalhar com a interface do usuário do aplicativo e players de sinalização digital."
Desenvolvedor Full Stack,São Paulo,A combinar,Irá atuar com Tech Stack: - Node.
Desenvolvedor Ruby,São Paulo, De 4.001 até 5.000 ,"Buscamos profissionais de desenvolvimento de software para participarem ativamente dos nossos projetos web, criando e evoluindo aplicações em Ruby on Rails. Esperamos que o candidato seja proativo, que goste de navegar pelo código, estudar as funcionalidades e se aprofundar na arquitetura. É essencial que seja adepto da cultura colaborativa e se preocupe com a criação de testes automatizados."
Desenvolvedor .Net,Belo Horizonte,A combinar,Desenvolvimento de software utilizando tecnologia web em ambiente corporativo utilizando banco de dados; Modelagem de dados e programação orientada a objeto;
Desenvolvedor Web Pleno (Rails/JS),Uberlandia, De 4.001 até 5.000 ,"Analisar documentos de requisitos e desenhos de telas, planejar entregas baseadas no esforço estimado para criação de funcionalidades, implementar novas funcionalidades, manter funcionalidades existentes, testar a aplicação."
Desenvolvedor WordPress,São Paulo," R$ 3000,00 ","A agência Nambbu procura programador WordPress para trabalhar com implementação e manutenção de projetos em WordPress. Além de sites e portais, a agência desenvolve lojas virtuais, então é importante ter experiência com WooCommerce."
Desenvolvedor Java,São Paulo,A combinar,"Identifica-se com os nossos valores. Já trabalhou no desenvolvimento de aplicações web. Experiência com algum banco de dados relacional,  testes automatizados e é habituado em trabalhar com pull requests. Tem noções de segurança para desenvolver código seguro. Conhece metodologias Ágeis.  Possuir experiência em Java. Conhecer Javascript, HTML e CSS, e tenha conhecimento com Twitter Bootstrap. O que terá de responsabilidade: Desenvolver novas funcionalidades e atuar na resolução de bugs das aplicações da Bionexo. Trabalhar em colaboração com outros times. Trazer boas práticas e conhecimentos técnicos para o dia a dia de trabalho. Compreender as necessidades dos usuários para ajudar a melhorar a eficiência dos fluxos de trabalho."
Desenvolvedor .Net Pleno,Rio de Janeiro, De 4.001 até 5.000 ,"Desenvolvedor dotNet com capacidade de desenvolvimento em front-end, Back-end e banco de dados. Conhecimentos de ."
Desenvolvedor PHP Júnior - Full Stack,Porto Alegre,A combinar,"Skills desenvolvimento e manutenção de integrações. Trabalho com plataformas de e- commerce. Desenvolvimento de aplicações Otimização da nossa plataforma. Otimizar a capacidade de resposta de aplicações. Projeção e desenvolvimento de APIs. Atividades Superior completo ou em andamento em Ciência da computação, Análise de sistemas, Engenharia da Computação, Engenharia de Software e áreas afins. Proficiência em linguagens fundamentais de Front-end, como HTML, CSS e JavaScript. Familiaridade com a tecnologia de banco de dados como MySQL, Oracle e MongoDB Experiência com PHP Conhecimento no uso de Frameworks em PHP com preferência em Laravel. Boas habilidades para resolver problemas. Atenção aos detalhes. Fortes habilidades organizacionais e de gerenciamento de projetos."
Desenvolvedor .NET,Rio de Janeiro, De 3.001 até 4.000 ,"Atuar com análise e desenvolvimento Web. Lidar com linguagens: Bootstrap, C#, Web Services, Entity, MVC, ASP Clássico, SQL Server, JavaScript, jQuery e VB."
Desenvolvedor Front-end,São Paulo,A combinar,"Atuar com HTML5, CSS3 e JQuery, com Bootstrap. Versionamento de código com GIT, Ajax, Javascript e Web Standards, Usabilidade (UX). Diagramação e manutenção de layouts responsivos, refatoração e melhorias em layouts para plataforma de e-commerce e ferramentas de gestão. Criação de gráficos e dashboards, integração de layouts em sistemas desenvolvidos com Django."
Desenvolvedor Full-Stack,São Paulo,A combinar,"Por que trabalhar na Geekie? Nós trabalhamos com educação e acreditamos que através de nossos produtos ajudamos a empoderar escolas, docentes e estudantes. Usamos tecnologias empolgantes como, por exemplo, React Native. Trabalhamos em times pequenos que têm bastante autonomia e estamos organizados de forma horizontal, com poucos níveis hierárquicos. Acreditamos em um ambiente de colaboração, confiança, respeito e diversidade. Estamos constantemente em busca de sermos melhores que antes, seja tecnicamente ou na forma como trabalhamos. Experiência com desenvolvimento de software ou Graduação em Engenharia de Computação, Ciência da Computação ou áreas relacionadas. Conhecimentos em Estruturas de Dados e Algoritmos. Proficiência em umas dessas linguagens: Python, Ruby, Node, Java ou C++. Experiência com Javascript. Paixão por desenvolver produtos inovadores e trabalhar com educação. Atitude positiva e espírito de equipe. O que você vai fazer por aqui? Desenvolvimento tanto para Web quanto para plataformas mobile, especialmente com React Native, disponíveis para iOS e Android, além de usar o React nas interfaces web. Nossos servidores são feitos em Python, usando bancos Mongo ou PostgreSQL, e usamos Heroku e AWS para nossa infraestrutura. Não temos divisão entre backend e Front end e todos podem pegar tarefas de qualquer parte do nosso sistema. Usamos metodologias ágeis para organizar nosso trabalho e a maior parte dos times usa scrum."
Desenvolvedor Java Full-Stack,Nova Lima,A combinar,Atuar com Server Side: Java 1.
Desenvolvedor Programador C#,São Paulo, De 8.001 até 9.000 ,"Atuar na criação de um sistema financeiro. Desenvolvimento de sistemas Web, Asp."
Desenvolvedor Front-End Pleno,São Paulo,A combinar,Participar do ciclo completo de desenvolvimento dos produtos;
Desenvolvedor. NET - Pleno,Rio de Janeiro,A combinar,"Atividades: Análise, programação e desenvolvimento de sistemas. Front: HTML, CSS, JavaScript, jQuery, Bootstrap Back: C#, ."
Desenvolvedor Java,Biguacu,A combinar,Realiza desenvolvimento em Java e SQL
Desenvolvedor Full Stack,Joinville,A combinar,"Atuar na análise e desenvolvimento front-end e back- end dos Portais, ferramentas e integrações TOTVS. Realizar consultorias técnicas. Participar de arquiteturas de soluções."
Desenvolvedor Ruby - Pleno/Sênior,São Paulo," R$ 8000,00 ","Liderar nosso time de desenvolvimento no aperfeiçoamento de bots, controle das nossas automatizações, melhoramento das nossas APIs."
Desenvolvedor Front-end,Manaus,A combinar,"Programa interfaces de Web e ferramentas de edição de imagem. Executa a manutenção dos sistemas, fazendo eventuais correções necessárias. Desenvolve trabalhos de montagem, depuração e testes de programas, executando serviços de manutenção nos programas já desenvolvidos."
Desenvolvedor Web,Fortaleza,A combinar,"Atuar com desenvolvimento de interfaces visando o uso de sistemas de gestão e monitoramento e aplicações baseadas em dispositivos IOT e mobile. Habilidades tecnológicas: Linguagens de desenvolvimento: HTML5, CSS3, JavaScript, Java (Android SDK), Frameworks de interfaces: AMP, Angular, React, PWA; Plataforma back-end: NodeJS ou ."
Desenvolvedor Magento,Santo André,A combinar,"Desenvolvimento Magento, manutenção de layouts de páginas da Web. Integração utilizado. Desenvolver novos módulos, aplicando melhorias e otimizações Conhecer API's de integração."
Desenvolvedor Angular / Node / BD,São Paulo,A combinar,"Análise e programação orientada, solução de problemas. Design, planejamento e execução. Planejamento Pessoal e Profissional. Desejável (mas não fundamental)."
Desenvolvedor Front-End - React,Florianopolis,A combinar,"Definir a arquitetura e construir o frontend de sistemas e aplicações web e mobile, utilizando tecnologias atuais e atendendo requisitos de responsividade e acessibilidade na web, implementando códigos que sejam escaláveis, fáceis de manter, eficientes e elegantes. Definir boas práticas, mantendo-se atualizado nas novas tecnologias de frontend e capacitando outros desenvolvedores. Participar de projetos de desenvolvimento de novos softwares, seguindo os protótipos definidos, planejando e implementando a estrutura e componentes da interface, utilizando para isso o framework de javascript React. Apoiar e orientar a elaboração de rotinas automatizadas de testes, utilizando-se de ferramentas e padrões para os testes necessários. Construir e validar protótipos de interfaces com usuários e clientes. Utilizar metodologias de UX no desenvolvimento de produtos e/"
Desenvolvedor Full Stack - Linguagens,Florianopolis,A combinar,"Projetar e desenvolver softwares escaláveis, fáceis de manter, eficientes e elegantes. Garantir a qualidade dos componentes e aplicativos desenvolvidos, seguindo os processos de qualidade de software em vigor e registrando os resultados. Participar de projetos de desenvolvimento de novos software ou customização de software já existentes cumprindo com os prazos acordados. Analisar as especificações recebidas, verificando possíveis inconsistências e/"
Desenvolvedor Front End,Uberlandia,A combinar,Atuar na codificação front-end do sistema conforme arquitetura e padrão de desenvolvimento definidos.
Desenvolvedor Android,São Paulo,A combinar,"Buscamos pessoas com experiência em desenvolvimento para Android, tanto em linguagem interpretada (Android Studio) como em código nativo (NDK). Manipulação de bibliotecas estáticas e dinâmicas para Windows, Linux e Android. Programação em C, C , Java, C#, PHP, Javascript. Criação e acesso a banco de dados SQLite, MySQL, SQL Server. Manutenção de código e customização de produtos.   Profissional terá envolvimento com parceiros e clientes desenvolvedores para alinhamento de requisitos e resolução de problemas.   Para aplicar-se na vaga você precisará ter ensino superior completo em Engenharia de Computação, Ciência da Computação ou similares."
Desenvolvedor Web Asp.net,Jundiaí,A combinar,Desenvolvedor full stack para trabalhar no desenvolvimento de novas aplicações web e manutenção de aplicações existentes.
Desenvolvedor Front-end,São Paulo, De 7.001 até 8.000 ,Participar de projetos financeiro (Ffintechs). Atuar com interação com equipe de UX / UI e produtos front de tecnologia. Transformar definições de UX / UI em interfaces responsivas e funcionais para sistema Web para produtos financeiros online. Atuar com a criação de conteúdo HTML5 / CSS3 / Javascript.
Desenvolvedor Front-end Pleno,Porto Alegre,A combinar,Desenvolvimento de interfaces responsivas para websites; Oportunidade de trabalhar em um ambiente com projetos internacionais e inovadores.
Desenvolvedor Salesforce Pleno,São Paulo,A combinar,Implementar aplicações e customizações em produtos Salesforce;
Desenvolvedor Front-end,São Paulo,A combinar,"Atuar junto à equipe da área de Comunicação Digital da agência como Programador Web. Suas principais responsabilidades serão direcionadas para análise do desenvolvimento técnico e visual de páginas da web utilizando suas linguagens e banco de dados, atuando em projetos de web dinâmicos com tecnologia PHP +MySQL. Necessário conhecimentos em integrações entre Front-end, Back-end e banco de dados. Será responsável por determinar os recursos necessários para o desenvolvimento e aplicação dos projetos pensando nas linguagens de programação, ferramentas e metodologias necessárias para a entrega do layout de telas, relatórios, estrutura física, lógica e gráfica, definindo a interface de comunicação e interatividade. Também será responsável pela manutenção e atualização constante dos sites e sistemas."
Desenvolvedor PHP,Rio de Janeiro,A combinar,Desenvolvimento e suporte em soluções de Software Livre para plataforma web.
Desenvolvedor Front- End Pleno,São Paulo," R$ 2500,00 ","Irá atuar com desenvolvimento de sistemas, gestão de equipes, dentre demais atividades."
Desenvolvedor .NET - Full Stack,Jundiaí,A combinar,"O profissional atuará como Desenvolvedor Full Stack, sendo responsável por implementar e evoluir novos produtos de Transformação Digital."
Desenvolvedor Java,Maringa,A combinar,"Atuará na análise, desenvolvimento e suporte de sistemas, utilizando a linguagem Java. Também será responsável por visitar clientes dando apoio à análise e implantação dos sistemas Matera."
Desenvolvedor ASP.NET,Sao Leopoldo, De 3.001 até 4.000 ,Desenvolvimento de softwares para o segmento rodoviário.
Desenvolvedor Web Front-end Pleno,Porto Alegre,A combinar,"Estamos buscando pessoas talentosas para fazer parte de nosso time de novos produtos. Você atuará no desenvolvimento de plataformas utilizadas pelas maiores marcas do varejo da América Latina para entender e se relacionar melhor com seus clientes, impactando a vida de milhões de pessoas. Suas responsabilidades serão: Skills HTML CSS (Sass / Less) JavaScript Versionamento de código (Git ou SVN) Diferenciais Métodos Ágeis (Scrum, Kanban) Automação de workflow (Gulp, Grunt) - Frameworks Javascript (Angular, ReactJS, Vue."
DESENVOLVEDOR DOT NET,São Paulo," R$ 10080,00 ",Experiência comprovado como Desenvolvedor Dot Net
Desenvolvedor Full Stack,São Jose dos Campos,A combinar,"Desenvolvimento Full Stack, testes e programação."
Desenvolvedor Java Pleno,São Paulo,A combinar,"Desenvolvimento, implantação e manutenção de sistemas de acordo com metodologia e técnicas. Realização de objetivos com foco em qualidade, custos, prazos e benefícios. Automatização de processos. Implementação e correção de falhas e erros no sistema e desenvolvimento de novas soluções."
Desenvolvedor Front Angular,São Paulo,A combinar,"Atuar em Framework front end: Angular 6. Teste: Jasmine, Versionamento: Git. Linguagens de marcação HTML5, CSS3 e SASS. JavaScript, chamadas assíncronas utilizando JSON como formato de transporte e REST."
Desenvolvedor Full-Stack,São Paulo,A combinar,Expertise em Full-stack.
Desenvolvedor Java FullStack,Florianopolis,A combinar,"Conhecimentos sólidos sobre criação de micro-services e integrações de API (REST e SOAP). Front end: HTML5, CSS3, JavaScript,"
Desenvolvedor Front-end,Belo Horizonte,A combinar,"No dia-a-dia você dará suporte a sistemas legados desenvolvidos em Angular JS, HTML e Sass Desenvolverá sistemas novos em Vue, TS, Sass e outras linguagens/"
Desenvolvedor Full Stack,Barueri,A combinar,"Estamos em busca de Desenvolvedores Full Stack talentosos e apaixonados pelo que fazem para integrarem nosso time. Valorizamos a habilidade técnica e o domínio das linguagens, bem como a curiosidade e a habilidade para trabalhar em time e a capacidade para resolver problemas. Trabalhamos em um clima informal, mas focamos muito na produtividade. Se você é bom no que faz e gosta de arregaçar as mangas para fazer coisas incríveis, você vai gostar muito do ambiente e vai participar da revolução que estamos começando no mercado logístico. Se você gosta de: Trabalhar em time, utilizando metodologias ágeis para resolver problemas do mundo real. Desenvolver aplicações e serviços web utilizando as melhores metodologias e padrões de projetos. Integrar sistemas utilizando APIs REST e JSON. Monitorar e ajustar aplicações pensando na performance. Parear com analistas de negócios."
Desenvolvedor Mobile React Pleno / Sênior,Salvador,A combinar,"Desenvolvedor Mobile React para desenvolvimento de soluções mobile (front e back end). Pleno e Sênior. Conhecimentos necessários: JavaScript avançado, React Native, Java, Publicação nas plataformas android e IOS, Teste Unitário; REST API, GIT. Contratação indeterminada direta pelo cliente."
Desenvolvedor Senior,Itajuba,A combinar,Conheça diversas tecnologias (Ainda não escolhemos a linguagem/
Desenvolvedor Python Pleno,Rio de Janeiro,A combinar,Oportunidade para trabalhar em um de nossos clientes como Desenvolvedor Python.
Desenvolvedor C# / .NET / NET CORE,São Paulo, De 5.001 até 6.000 ,"Buscamos desenvolvedor para integrar um time de desenvolvimento web, atuando em projetos de publicidade, como campanhas de incentivo e promoções."
Desenvolvedor - Salesforce e CRM,São Paulo,A combinar,"Atuar junto a equipe de desenvolvimento. Desenvolver soluções para o mercado corporativo em plataformas como Salesforce, XPI, Informática, Heroku e/"
Desenvolvedor .NET,São Jose dos Campos,A combinar,Atuar com atendimento a chamados de aplicações .
Desenvolvedor .NET,Barueri,A combinar,"Desenvolvimento Web, Web API, ASP."
Desenvolvedor Full Stack Sênior,São Paulo," R$ 10000,00 ","Atua com projetos de desenvolvimento utilizando metodologias ágeis, manutenção, depuração e testes. Conhecimentos com Elastic Search, Kibana, Apache Kakfa, RabbitMQ. Conhecimentos avançados com Asp."
Desenvolvedor .NET,São Paulo,A combinar,Desenvolvimento em C# ASP.
Desenvolvedor .NET C# Júnior,Belo Horizonte,A combinar,"Trabalhar abraçando os desafios e fazendo o que for necessário (Analisar, projetar, programar, depurar e modificar softwares). Integrar o nosso sistema com plataformas externas (às vezes vai ter webservice, as vezes não!"
Desenvolvedor de Tecnologia,Rio de Janeiro,A combinar,"Programar, codificar e testar linguagens de programação, com base nos sistemas desenvolvidos pelos analistas."
Desenvolvedor Android Sênior,São Paulo,A combinar,"Pense na UPS, mas sem os caminhões. A Mandaê (www."
Desenvolvedor.NET,Belo Horizonte,A combinar,"Atuação com HTML5, JavaScript, manutenção e desenvolvimento de sites / intranet em ambiente corporativo. Utilização de MVC, ADO."
Desenvolvedor Fullstack Pleno,Santo André,A combinar,Missão do cargo: Atuar nas features de inovação do produto.
Desenvolvedor Web,São Paulo,A combinar,"Desenvolvimento de plataforma Web com ASP, JavaScript, HTML e CSS, manutenção e desenvolvimento de novas funcionalidades em sistemas existentes de acordo com as necessidades do cliente; manipulação e estruturação de dados e banco MySQL e aplicações com PhoneGap para desenvolvimento mobile."
Desenvolvedor Java Júnior,Brasília, De 1.001 até 2.000 ,"Atuará com desenvolvimento web em HTML, JacaScript, SQL e outras linguagens."
Desenvolvedor Web Full Stack,Barueri,A combinar,Django (Framework web em Python onde o Billing/
Desenvolvedor Full Stack C# / ASP.NET Pleno,São Paulo,A combinar,"Atender as demandas que tenham foco em conexões, troca de dados e web service em projetos estratégicos. Conhecimentos necessários: programação C#  com bons conhecimentos no desenvimento de serviços SOAP ou REST, ASP."
Desenvolvedor Web C#,São Paulo,A combinar,"Programming Techniques 1: Multithread & concurrency (threads, tasks, pools, synchronization, semaphores, locks, reset events and Mutex). Programming Techniques 2: Concurrency & data manipulation (queues, stacks, singleton, concurrent dictionaries, concurrent queues and concurrent lists). Programming Techniques 3: Memory use (GC, object lifecycle, disposing, compared memory consumptions in different scenarios, variable use context."
Desenvolvedor PHP SOA / ESB / API-M,São Paulo, De 7.001 até 8.000 ,"Experiência avançada em linguagens PHP. Ensino superior completo em Análise de Sistemas, Sistemas de Informação, Ciência da Computação ou áreas correlatas. Tarefas a serem executadas: Atuar no desenvolvimento e implantação do Enterprise Service Bus - API-M da empresa / Workflow BPMN. Atuar no desenvolvimento e manutenção de websites, aplicações web, portais, etc (uso externo e interno). Apoiar no levantamento de requisitos, auxiliando na estimativa de esforços e avaliação de riscos. Prototipação e validação de conceito de novas ideias. Auxiliar na definição de arquitetura e contribuição nas definições técnicas. Prover sugestões de melhorias para aperfeiçoamento dos produtos. Integração entre as aplicações (internas e de parceiros) através de uso de APIs de terceiros via ESP/"
Desenvolvedor Full Stack,São José,A combinar,Será responsável pela análise e desenvolvimentos dos sistemas da Nexti.
Desenvolvedor Sênior .NET (C#),Aparecida de Goiania,A combinar,Atuar com análise / criação de sistemas e demais rotinas do cargo. Atuar no desenvolvimento de sistemas utilizando linguagem de programação C#.
Analista Desenvolvedor Baixa Plataforma NET,São Paulo,A combinar,"Atuará com análise e programação de Sistemas da área financeira. Gestão de configuração: GIT , SVN e TFS."
Analista Desenvolvedor Pleno,Belo Horizonte,A combinar,"Desenvolvedor Java, conhecimento em linguagem de programação Java 1."
Desenvolvedor de Software,Natal,A combinar,"Desenvolvimento de softwares, Codificar e testar sistemas, realizar a manutenção dos sistemas e programas já desenvolvidos."
Java e Javascript Developer,Porto Alegre,A combinar,"Empresa de Portugal está em busca de desenvolvedores front e back desde Júnior até SR. Se você possui dupla cidadania europeia e quer ter a chance de trabalhar para uma equipe super engajada em diversos projetos inovadores na Europa, está é sua chance. Irá atuar com as seguintes tecnologias, Java 5 to 9, Microservice, Docker Spring framework (Spring Boot, Spring Data, Spring Security."
Analista Desenvolvedor Mobile,Indaiatuba,A combinar,"Descrição da vaga Você gostaria de ajudar a desenvolver um ecossistema de soluções para facilitar a gestão e desenvolvimento de pessoas nas empresas? Utilizando metodologias de gestão ágil e ferramentas e tecnologias de última geração, microsserviços, computação em nuvem, e muito mais, nós criamos soluções para esta finalidade. Como Analista Programador você irá contribuir na definição e criação destas soluções, trabalhando com um time de pessoas extraordinárias para entregar produtos de alta qualidade. Responsabilidades e Atribuições: - Auxiliar o coordenador da área na definição das melhores soluções tecnológicas. - Escrever código limpo, padronizado, bem documentado e testado. - Controlar revisões de código, features, releases e bugs. - Ajudar na definição da arquitetura da aplicação com a finalidade de garantir a alta disponibilidade e confiabilidade dos aplicativos."
Analista Desenvolvedor .NET Jr,São Paulo,A combinar,Conhecimento em ASP.
Analista Desenvolvedor de Sistemas Sênior,Uberlandia,A combinar,"Atuar com desenvolvimento utilizando a linguagem PYTHON para backend principalmente na criação de APIs RESTful; Experiência em desenvolvimento WEB considerando as tecnologias javascript, HTML, CSS e principalmente React Native como frontend. Analisar, estruturar, estimar e executar requisitos de negócio definidos em histórias utilizando a metodologia Scrum"
Programador PHP Pleno,Pinhais," R$ 5000,00 ",Criação e manutenção de sistemas PHP utilizando frame work. Integrações de aplicações a serviços externos (Web service). Estudar e implementar tecnologias para soluções sistêmicas.
Programador PHP,São Bernardo do Campo," R$ 1800,00 ","Desenvolvimento de documentação, prestar suporte e treinamento aos usuários do sistema. Conhecimento em Desenvolvimento de Software Web em PHP. Conhecimento em HTML com a aplicação das melhores práticas. Conhecimento em CSS."
Analista Desenvolvedor III,Barueri,A combinar,Desenvolver projetos WEB em linguagem .
Programador PHP,Limeira,A combinar,"Atuar o desenvolvimento de sites e sistemas, utilizando as seguintes tecnologias: PHP, MySQL,"
Analista Desenvolvedor C# Junior,Blumenau,A combinar,Se você é daqueles/
Analista Desenvolvedor Progress Senior,São Paulo,A combinar,"Irá atuar com Progress, 4GL, Javascript, Webspeed e WebServices"
Analista Desenvolvedor Mobile,Florianopolis,A combinar,Desenvolvimento web e mobile.
Analista Desenvolvedor Front End com Angular JS,São Paulo,A combinar,"Apoiar na criação de padrões de implementação na plataforma WEB (padrões MVC,"
Analista Desenvolvedor .NET Sênior,São Paulo,A combinar,"Irá atuar com Net Core e C#; Entity Framework Core (Code First); Frontend (HTML, CSS, Javascript. React); Banco de Dados Relacional (SQL / PostgreSQL);"
Analista Desenvolvedor Senior,São Paulo,A combinar,"Estamos com uma vaga para Analista Desenvolvedor SR. Nesta colocação, você vai codificar projetos de diversas complexidades, compreender e criticar solução técnica apresentada, realizar inspeções ou revisões de artefatos relacionados à sua área de atuação. Venha crescer usando seu conhecimento contribuindo com novas soluções e convivendo com a Cultura Lean na prática. Um ambiente descontraído, sem dress code, que estimula o coletivo e otimiza processos."
Analista Desenvolvedor Front End,São Paulo,A combinar,"Desenvolve e projeta interfaces e desenha wireframes, aplica testes e implementa melhorias, de acordo com as melhoras práticas de navegabilidade e experiência do usuário. Participa do levantamento de informações e da definição de métodos e de recursos necessários para a implantação ou alteração dos já existentes."
Analista Desenvolvedor Web,Florianopolis, De 2.001 até 3.000 ,Desenvolver aplicações web para ferramentas de gestão do jogo; Desenvolver e manter sites da empresa; Prover APIs que fornecem dados para as ferramentas e sites web; Configurar e gerenciar o servidor de aplicação web; Planejar e executar testes unitários de software; testes manuais do site e do jogo.
Analista Desenvolvedor HavaScript,Blumenau,A combinar,"Ser responsável por projetar e conduzir tecnicamente a construção da solução de negócio. Importante: a atuação deve estar de acordo com as políticas e metodologias da HBSIS, sem abrir mão de agregar valor ao cliente."
Analista Desenvolvedor C#,Maringa,A combinar,"Nesta função será sua responsabilidade analisar a especificação técnica, funcional e depuração do sistema, realizar o acompanhamento da manutenção corretiva e apoiar a equipe na retenção de conhecimento sobre as implementações. Você vai conviver em um ambiente sem dress code conhecendo, na prática, a Cultura Lean."
Analista Desenvolvedor Java Líder,Rio de Janeiro,A combinar,"Atuará com Spring MVC, Spring Boot, Jquery, Javascript, Webservice; SOAP/"
Programador PHP,São Paulo, De 3.001 até 4.000 ,"Desenvolvimento e manutenção de programas Web, Front-end / Back-end. Banco de dados MySQL, JavaScript, HTML e CSS."
Programador PHP,São Paulo,A combinar,"Atuação na área de desenvolvimento, manutenção e customização de sites e sistemas SAAS."
Programador Front-end,Rio de Janeiro, De 1.001 até 2.000 ,"Programa interfaces de Web e ferramentas de edição de imagem. Executa a manutenção dos sistemas, fazendo eventuais correções necessárias. Desenvolve trabalhos de montagem, depuração e testes de programas, executando serviços de manutenção nos programas já desenvolvidos."
Analista Programador PHP,Maringa,A combinar,"Realizar manutenção de sistemas e aplicações, bem como realizar desenvolvimento de novas APIs para integração com aplicativos e parceiros (área financeira). Desejável Graduação completa ou cursando em Sistemas de Informações, Ciência da Computação, Engenharia de Softwares ou correlatas. Conhecimento em PHP, Javascript, MySQL, HTML e CSS."
Estágio na área de Desenvolvimento de Sistemas,Rio de Janeiro," R$ 800,00 ","Apoiar a equipe de desenvolvimento na execução de suas atividades diárias; Participar desenvolvimento de projetos em Java para o ambiente Web (WebSites e WebAPIs) e Mobile. Auxiliar o time de R&D (Research and Development) no desenvolvimento de novas soluções. Auxiliar no teste, implantação, mantenimento e melhoria de Softwares. Acompanhar o time de desenvolvedores, gerentes e equipes parceiras em suas atividades de desenvolvimento de nossos softwares em linguagens Delphi, C, C++, JavaScript ou Java. Auxiliar no atendimento aos usuários através de sistema de chamados. Auxílio na análise de especificação e levantamento de requisitos de melhorias nos sistemas."
Programador .NET,Jundiaí,A combinar,Desenvolvimento .
Programador Back-end,Ibiuna,A combinar,"Atuar com PHP Laravel, API Rest, MySQL, HTML 5, CSS e JavaScript."
## nao ta buscando todo o conteudo do site